probeg_trassa;probeg_city;probeg_bezdor;rashod_trassa;rashod_city;rashod_bezdor;razn
100;300;0;8.50;31.50;0.00;0.00
110;282;8;9.35;29.61;1.04;0.00
120;264;16;10.20;27.72;2.08;0.00
125;255;20;10.62;26.77;2.60;0.00
135;237;28;11.47;24.89;3.64;0.00
140;228;32;11.90;23.94;4.16;0.00
145;219;36;12.32;23.00;4.68;0.00
150;210;40;12.75;22.05;5.20;0.00
155;201;44;13.18;21.11;5.72;0.00
165;183;52;14.03;19.21;6.76;0.00
170;174;56;14.45;18.27;7.28;0.00
175;165;60;14.88;17.32;7.80;0.00
180;156;64;15.30;16.38;8.32;0.00
185;147;68;15.72;15.44;8.84;0.00
190;138;72;16.15;14.49;9.36;0.00
195;129;76;16.57;13.55;9.88;0.00
200;120;80;17.00;12.60;10.40;0.00
205;111;84;17.43;11.65;10.92;0.00
210;102;88;17.85;10.71;11.44;0.00
215;93;92;18.27;9.77;11.96;0.00
220;84;96;18.70;8.82;12.48;0.00
225;75;100;19.12;7.88;13.00;0.00
230;66;104;19.55;6.93;13.52;0.00
235;57;108;19.98;5.99;14.04;0.00
240;48;112;20.40;5.04;14.56;0.00
245;39;116;20.82;4.09;15.08;0.00
250;30;120;21.25;3.15;15.60;0.00
